URL,Headings,Numbers,Emails,Error
https://www.wikipedia.org,,,,Non-HTML content
https://www.bbc.com,"US launches strikes against Islamic State in Nigeria|Are Christians being persecuted in Nigeria as Trump claims?|US launches strikes against Islamic State in Nigeria|Are Christians being persecuted in Nigeria as Trump claims?|Zelensky plans to meet Trump on Sunday for talks on ending Russian war|I'm watching brain surgery to see if Alzheimer's can ever be cured|Blast at Syrian mosque during Friday prayers leaves at least eight dead|Two killed in suspected Palestinian ramming and knife attack in Israel|Quiz of the Year 2025, Part 2: What did Katy Perry sing on that all-female space flight?|Only from the BBC|12 books you need to read in 2026|The 20 best places to travel in 2026|Best Audio of the Year|You're Dead to Me|History of Coffee: from devil’s brew to our favourite beverage|History's Heroes|The Night Witches|More or Less|Are 80% of women really only attracted to 20% of men?|The Global Story|The death of reading|Good Bad Billionaire|Evan Spiegel: Snapchat fratboy|World of Secrets|1. The real Mona Kizz|The Interview|Reid Hoffman: Should we trust the tech elite?|The Documentary Podcast|LOUD: Is noise an invisible killer?|Arts in Motion|See the magic of Opera's 'last diva'|More news|Thailand bombs Cambodian border area as ceasefire talks continue|'Respect the culture' - Fifa urged to allow Pride Match|Heavy rainstorms in California leave three dead as of Christmas night|Ex-Malaysia PM Najib Razak given 15-year jail term over state funds scandal|US judge blocks detention of British social media campaigner|Israel recognises Somaliland as independent state, Netanyahu says|Jota's sons to join mascots for Liverpool v Wolves|Editor's picks|The church built for all religions|The astonishing pagan origin of Christmas|The dark history of Santa's official hometown|Where the Amish go on holiday|The little-known truth behind a Christmas tale|The psychology behind why we give gifts|The evolutionary reason we eat so much at Christmas|The AI toys taking over Christmas shopping lists|Year in Review|The travel images that transported us in 2025|10 of the biggest film flops of 2025|Seven quiet wins for climate and nature in 2025|The world's five happiest cities for 2025|Popular Reads of 2025|The world's most misunderstood novel|The last von Trapp is 86 - and still runs a hotel|The truth behind your $12 dress: Inside the Chinese factories fuelling Shein's success|Editor's Picks of 2025|The sweet Dutch sandwich that makes no sense|Is this how AI might eliminate humanity?|'Once-in-a-century' discovery reveals spectacular luxury of Pompeii|A 1960s sex scandal that rocked British politics|US & Canada news|Democratic lawmaker sues to remove Trump's name from Kennedy Center|Jingle bills: Arkansas Powerball player strikes $1.8bn jackpot on Christmas Eve|Mudslides, flooding and debris: Storms batters southern California|Moment robbers rip ATM from inside Texas store|More world news|India's solar boom faces a hidden waste problem|Indonesians raise white flags as anger grows over slow flood aid|Brazil ex-President Jair Bolsonaro's surgery for hernia 'successful'|Front-runner to be Bangladesh PM returns after 17 years in exile|Business|BP sells stake in motor oil arm Castrol for $6bn|Rivalries and rumours: How the new order of the Murdoch dynasty is playing out|UK social media campaigners among five denied US visas|US economy grows at fastest pace in two years|Sport|Championship: Wrexham hit back but Sheff Utd lead 3-2; Coventry increase advantage at top|'Unfair' MCG pitch has 'done too much' - Vaughan|Salah penalty sends 10-man Egypt through at Afcon|Man City players 'incredibly disciplined' - Guardiola|Latest Sport audio|Test Match Special Podcast|Mayhem in Melbourne on bonkers Boxing Day|More Than The Score|More than 2025: Cecilia Braekhus's farewell to boxing|Football Daily|Manchester United’s Fernandes blow & player discipline at Christmas|Test Match Special Podcast|No Balls: Snow Balls the Christmas Podcast|More Than The Score|More than 2025: Flavor Flav hypes the Winter Olympics|Football Daily|72+ EFL Pod: At Home with the Bruces|The Wayne Rooney Show|Wayne's Shocking Christmas Dinner & Players Going AWOL|Test Match Special Podcast|Ben Stokes responds to Noosa revelations & Archer is out|Tech|Planning a festive swim? Warning not to rely on AI for advice on tides|Tributes to TikTok star gaming gran who died aged 78|25 years of the ISS in 25 numbers|AI app apologises over false crime alerts across US|Science & health|Cancer treatment ended my last pregnancy - this baby is my Christmas miracle|Christmas can be a nightmare for misophonia sufferers like me|What does a huge festive meal do to your brain?|US regulator approves pill form of Wegovy weight-loss drug|Culture|Sydney Sweeney: I want to make films that save people's lives|Stranger Things: What could happen next as the show's finale looms?|King's Christmas message urges unity in divided world|Royal Family greet crowds after Christmas Day service|Arts|Seven of the greatest rivalries in art history|The ancient art of Japanese bonsai|The Salt Path and 2025's most scandalous books|The truth about Tudor England's 'most hated woman'|Watch|Behind the scenes at Gaudi's stunning La Sagrada Familia|Travel|A local's guide to visiting Paris|The Mexican beer you can only buy at Christmas|BBC Travel's favourite stories of 2025|Are passport stamps disappearing for good?|World's Table|Sorry, France, the world's best bubbly is British|Why travellers keep queueing for viral food|The controversial snack that fuels Norwegian trips|The hidden history of a classic American dish|Earth|Why Britain has a deer problem - leaving damage that costs millions|Chronic water shortages dampen holiday mood in Tanzania's biggest city|US pauses offshore wind projects over security concerns|'This is our future,' climate adviser warns as 2025 to break UK heat records|Video|BBC Talking Movies top 10 films of 2025|Köttbullar: The secret behind the iconic Swedish meatballs|The forgotten underground river that shaped Paris|George Clooney and Adam Sandler's recommended movies|Discover more from the BBC|Sign up to Tech Decoded|Download the BBC app|US Politics Unspun|Register for a BBC account|Sign up for the Essential List|The BBC is in multiple languages|Read the BBC In your own language",43|10|43|10|53|12|3|2|2025|2|2025|18|12|2026|20|2026|80|20|1|6|6|20|15|1|4|12|24|7|2025|10|2025|2025|2025|2025|1925|86|12|75|2025|750|000|1960|1|8|11|2047|17|6|65|3|2|11|10|2025|2025|72|7825|25|2025|2025|40|19|2025|10|2025|2025|10|2025,,
https://www.cnn.com,,,,"Cannot connect to host www.cnn.com:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1002)')]"
https://www.nytimes.com,Sections||Top Stories|Newsletters|Podcasts|Sections|Top Stories|Newsletters||Sections||Top Stories|Newsletters|Podcasts|Sections||Recommendations|Newsletters|Podcasts|Sections||Columns|Newsletters|Podcasts|Sections|Topics|Columnists|Podcasts|Playlists|Listen|Featured|Newsletters|Games|Play||Community|Newsletters|Cooking|Recipes|Editors' Picks|Newsletters||Wirecutter|Reviews||The Best...|Newsletters|The Athletic|Leagues|Top Stories|Newsletters|Play|Sections||Top Stories|Newsletters|Podcasts|Sections|Top Stories|Newsletters||Sections||Top Stories|Newsletters|Podcasts|Sections||Recommendations|Newsletters|Podcasts|Sections||Columns|Newsletters|Podcasts|Sections|Topics|Columnists|Podcasts|Playlists|Listen|Featured|Newsletters|Games|Play||Community|Newsletters|Cooking|Recipes|Editors' Picks|Newsletters||Wirecutter|Reviews||The Best...|Newsletters|The Athletic|Leagues|Top Stories|Newsletters|Play|New York Times - Top Stories|Watch Today’s Videos|More News|The AthleticSports coverage|Well|Culture and Lifestyle|AudioPodcasts and narrated articles|GamesDaily puzzles|Site Index|Site Information Navigation,20|100|21|5|36|10|2|1|20|100|21|5|36|10|2|1|4|4|26|2025|1|11|20|5|12|5|4|12|8|6|2|2|2|2025|64|5|5|15|4|1|3|5|4|50|6|19|4|4|2022|2|2|25|000|3|5|6|6|5|82|60|4|5|6|5|6|7|2025,,
https://www.reuters.com,,,,
https://www.techcrunch.com,"Topics|More from TechCrunch|Treat yourself: The best smart glasses to buy with your holiday gift money|Naware’s chemical-free weed killer tech could change how we treat lawns|These are the cybersecurity stories we were jealous of in 2025|The 9 top cybersecurity startups from Disrupt Startup Battlefield|The year data centers went from backend to center stage|Waymo explains why its robotaxis got stuck during the SF blackout|How Mill closed the deal with Amazon and Whole Foods|The 9 top biotech startups from Disrupt Startup Battlefield|Latest News|What’s ahead for startups and VCs in 2026? Investors weigh in|Equity’s 2026 Predictions: AI Agents, Blockbuster IPOs, and the Future of VC|Naware’s chemical-free weed killer tech could change how we treat lawns|Treat yourself: The best smart glasses to buy with your holiday gift money|The 9 top cybersecurity startups from Disrupt Startup Battlefield|These are the cybersecurity stories we were jealous of in 2025|How a Spanish virus brought Google to Málaga|The best distraction blockers to jumpstart your focus in the new year|Nvidia to license AI chip challenger Groq’s tech and hire its CEO|The year data centers went from backend to center stage|Most Popular|Nvidia to license AI chip challenger Groq’s tech and hire its CEO|Waymo explains why its robotaxis got stuck during the SF blackout|Marissa Mayer’s new startup Dazzle raises $8M led by Forerunner’s Kirsten Green|Inside Uzbekistan’s nationwide license plate surveillance system|ChatGPT launches a year-end review like Spotify Wrapped|Waymo resumes service in San Francisco after robotaxis stall during blackout|Google and Apple reportedly warn employees on visas to avoid international travel|Upcoming Events|StrictlyVC 2026 Events|TechCrunch Disrupt 2026|TechCrunch Founder Summit 2026|Newsletters||TechCrunch Daily News|Startups Weekly|TechCrunch Week in Review|TechCrunch Mobility|AI|Equity’s 2026 Predictions: AI Agents, Blockbuster IPOs, and the Future of VC|Nvidia to license AI chip challenger Groq’s tech and hire its CEO|The year data centers went from backend to center stage|The European startup market’s data doesn’t match its energy — yet|Why the operating room is ripe for AI, according to Akara|Startups|Equity’s 2026 Predictions: AI Agents, Blockbuster IPOs, and the Future of VC|Naware’s chemical-free weed killer tech could change how we treat lawns|The 9 top cybersecurity startups from Disrupt Startup Battlefield|How a Spanish virus brought Google to Málaga|The European startup market’s data doesn’t match its energy — yet|Video|How Glīd won Startup Battlefield 2025: Mentorship, mission-focus, and meditation|Can AI fix the operating room? This startup thinks so|From Roombas to e-bikes, why are hardware startups going bankrupt?|These startups are building innovations that make life (and death) better|Netflix is showing Hollywood what happens when a startup grows up|What most VCs won’t tell you about raising capital|AWS needs you to believe in AI agents|Celebrity Co-Founders Not Required: Building Influence from Scratch|Day One Ventures’ Masha Bucher on why every founder needs to be an influencer|Supabase hit $5B by turning down million-dollar contracts. Here’s why.|Nordic founders are taking bigger swings, and it’s paying off|Security|These are the cybersecurity stories we were jealous of in 2025|ServiceNow to acquire cybersecurity startup Armis for $7.75B|Hackers stole over $2.7B in crypto in 2025, data shows|US insurance giant Aflac says hackers stole personal and health data of 22.6 million people|France’s postal and banking services disrupted by suspected DDoS attack|Venture|What’s ahead for startups and VCs in 2026? Investors weigh in|Equity’s 2026 Predictions: AI Agents, Blockbuster IPOs, and the Future of VC|The European startup market’s data doesn’t match its energy — yet|Building and losing iRobot: Why Colin Angle thinks the FTC is to blame|Marissa Mayer’s new startup Dazzle raises $8M led by Forerunner’s Kirsten Green|A comprehensive list of 2025 tech layoffs|Israel’s famed VC Jon Medved, diagnosed with ALS, backed the tech that will improve his life|Sequoia partner spreads debunked Brown shooting theory, testing new leadership|Apps|The best distraction blockers to jumpstart your focus in the new year|Apple pauses app store changes in Texas after court blocks age-assurance law|Italy tells Meta to suspend its policy that bans rival AI chatbots from WhatsApp|How to track Santa Claus this Christmas Eve using AI|Amazon’s AI assistant Alexa+ now works with Angi, Expedia, Square, and Yelp|Transportation|Waymo explains why its robotaxis got stuck during the SF blackout|Waymo is testing Gemini as an in-car AI assistant in its robotaxis|Zoox issues software recall over lane crossings|Inside Uzbekistan’s nationwide license plate surveillance system|Uber and Lyft to test Baidu robotaxis in London next year, joining Waymo|In Brief|Nvidia to license AI chip challenger Groq’s tech and hire its CEO|ServiceNow to acquire cybersecurity startup Armis for $7.75B|John Carreyrou and other authors bring new lawsuit against six major AI companies|France’s postal and banking services disrupted by suspected DDoS attack|Pirate group Anna’s Archive says it has scraped 86 million songs from Spotify|Alphabet to buy Intersect Power to bypass energy grid bottlenecks|Podcasts|Build Mode|Equity|StrictlyVC Download",2|1|2025|4|9|9|2026|12|2026|12|1|2|9|3|2025|4|1|1|2|2|2026|8|2026|1|2026|2026|13|15|2026|2026|27|31|2026|2026|12|2|2|2|2|2026|12|1|9|3|1|2|2025|25|2025|3|25|19|2025|18|2025|48|12|2025|25|11|2025|43|5|2025|4|2025|34|3|2025|5|28|2025|28|26|2025|26|2025|4|7|75|3|2|7|2025|3|22|6|3|3|2026|12|2026|12|2|3|8|3|2025|4|21|2025|19|2025|1|2|2|2|3|2|2|3|3|4|2|7|75|3|3|3|86|3|4|6|18|2025|1049|26|2025|49|23|2025|2025,,
https://www.medium.com,,,,
https://www.theguardian.com,"A child is born Italians celebrate village’s first baby in 30 years|The perfect morning routineHow to build a happy, healthy start to the day|‘Cocaine, gold and meat’How Colombia’s Amazon became big business for crime networks|‘Not the charmed industry it once was’Can Hollywood find its comeback story?|Aya Al-HattabIn Gaza we’re trapped, waiting for our lives to resume|PhotographyThe best Guardian portraits of 2025|News|ExclusiveUK campaigner targeted by Trump accuses tech giants of ‘sociopathic greed’|Imran AhmedUS judge blocks Trump administration from deporting UK anti-disinformation campaigner|Imran AhmedUS judge blocks Trump administration from deporting UK anti-disinformation campaigner|US foreign policyUS warns of more Nigeria strikes as Abuja talks of ‘joint ongoing operations’|ExplainedWhy has Trump ordered strikes in Nigeria and what has it got to do with the persecution of Christians?|Trump administration briefingPresident praises military after launching Christmas Day strikes on IS in Nigeria|VideoUS carries out strikes targeting Islamic State in Nigeria on Christmas Day|Arms tradeChina imposes sanctions on US defence firms over Taiwan arms deal|YemenSouthern separatists in Yemen report Saudi airstrikes near positions|UkraineZelenskyy to travel to US for Trump meeting amid push for Ukraine  deal|Russia‘All brakes are off’: Russia’s attempt to rein in illicit market for leaked data backfires|Ukraine war briefingKyiv hits Russian oil refinery with British Storm Shadow missiles|RussiaRussian opposition leader sentenced to six years in prison|VenezuelaVenezuela says it released 99 people detained for 2024 election protests|US mediaBari Weiss defends decision to pull 60 Minutes episode on El Salvador prison|SomalilandIsrael becomes first country to recognise Somaliland as sovereign state|USCalifornia braces for flooding and avalanche risk during strong storms|In focus|Colombia‘Cocaine, gold and meat’: how Colombia’s Amazon became big business for crime networks|FloridaThe protesters showing up every week to shut down ‘Alligator Alcatraz’: ‘We will end this’|Donald Trump‘Loyalty over all’: Trump was once known for constantly switching out his staff. Not any more|Features|CultureJewish klezmer-dance band Oi Va Voi: ‘Musicians shouldn’t have to keep looking over their shoulders’|How to have a better dayThe perfect morning routine: how to build a happy, healthy start to the day – from showers to sunshine|The secrets of the body clockHow to tune into your natural rhythms – and have a better day|More features|ScotlandThe pioneering light boxes helping Orkney islanders avoid seasonal affective disorder|ItalyA child is born: Italians celebrate village’s first baby in 30 years|Well actually‘A bat’s head’: the best and worst gifts 11 people have ever received|EnvironmentDefunding fungi: US’s living library of ‘vital ecosystem engineers’ is in danger of closing|Global developmentWe can be heroes: the inspiring people we met around the world in 2025 – part two|Life and styleMy weirdest Christmas: it was our first year in Sweden – but I insisted on having a big British celebration|PhotographyNick Cave, Jamie Lee Curtis, Rami Malek, CMAT and more! The best Guardian portraits of 2025 – in pictures|Opinion|In Gaza we’re trapped in an endless maze of waiting – for peace, for the deaths to stop and for our lives to begin again|Our king, our priest, our feudal lord – how AI is taking us back to the dark ages|More opinion|The hill I will die on: Washing-up bowls are horrible and should be banned|Digested week: Like sex or massages, Christmas is even better when it stops|The Stephen Collins cartoon2025, the year of gifts and grifts: the Stephen Collins cartoon|Fat, fearless and over 50: thanks to my TikTok outfit posts, I feel powerful and seen|Editorials|The Guardian viewAdapting to the climate crisis: it demands political honesty about extreme weather|Cartoon|Nicola JenningsTrump and Putin’s Christmas Day|Sport|Duckett and Bethell were dangled out to dry by failings of a slack setup|The Ashes ‘The pitch is doing quite a bit’: Tongue revels in five-fer and defends England batting|‘That wicket is a shocker’Former Ashes players question state of MCG pitch|ReportAustralia edge England as 20 wickets fall on wild day one of Boxing Day Test|Geoff LemonBrief shades of Boxing Day 2010 but Australia’s 2025 bowlers always in control|FootballAfcon roundup: Salah strikes again as 10-man Egypt hold off South Africa|ChampionshipCautious Middlesbrough lose ground on leaders with goalless Blackburn draw|Championship roundupCoventry go eight points clear while Leicester lose again|2025 in reviewI was there: Alcaraz’s comeback in French Open final is still hard to comprehend|2025 in reviewBetter late than never: fans relive watching their teams end long wait for a trophy|Football interviewParma coach Carlos Cuesta: ‘Leaving Arsenal was maybe the most difficult decision of my life’|FootballHavertz near to Arsenal return with Arteta hoping for ‘different dimension’ in attack|Robertson was a ‘scruffy, unfit’ genius who did not get the kudos he deserved|ScotlandJohn Robertson, Forest and Scotland legend, dies aged 72|Sport in FocusSign up to our newsletter with the week's best photos|More sport|Your Guardian sport weekendPremier League, Ashes, NFL and all our live coverage to come|FootballCautious Middlesbrough lose ground on leaders with goalless Blackburn draw|Horse racingRedknapp says he’s ‘in Champions League’ after Jukebox’s King George hit|NFLPreview: Bears and 49ers clash with playoff bye week at stake|More top stories|IsraelTwo killed in stabbing and suspected car-ramming in northern Israel|Egypt British-Egyptian activist Alaa Abd el-Fattah arrives in UK after travel ban lifted|BusinessAI boom adds more than half a trillion dollars to wealth of US tech barons in 2025|USKentucky plane crash death toll rises to 15 after injured man died on Christmas|US politicsHow an ex-US marine became vital in the fight against Trump’s aggressive immigration enforcement|Climate crisis & environment|USUS voters linking climate crisis to rising bills despite Trump’s ‘green scam’ claims|Weather trackerDeep freeze grips Canada as US records warmest Christmas|EnvironmentCountry diary: Little rituals to help sparrows and wrens|PollutionStaying at home could leave you exposed to indoor air pollution, study reveals|UK news|UKUnpublished ‘Tupperware erotica’ novel prompts fierce contest for TV rights|Post Office Horizon scandal‘A PR stunt’: Post Office scandal victims dismiss plans for museum exhibition|UK‘The hidden engine room’: how amateur historians are powering genealogical research|Against the tideLiving on the edge: what young people in England told us about life on the coast|World news|UKUN experts raise ‘grave concern’ over treatment of Palestine Action-linked hunger strikers|Brown University shootingBrown shooting suspect: gruelling academic climate may have taken mental toll, say ex-classmates|Southeast AsiaCambodia accuses Thailand of launching strikes during border peace talks|JapanJapanese cabinet approves record defence budget amid escalating China tensions|Culture|2025 in TV‘Bob Odenkirk called to check on me after he saw it’: Rhea Seehorn on the intensity of making hit show Pluribus|Photography‘It’s all about love’: how a Swiss photographer’s intimate honeymoon pictures caused a scandal|Best culture of 2025|The 50 best TV shows of 2025No 1 – Adolescence|MusicThe 10 best global albums of 2025|Design and architectureThe best design and architecture of 2025 – from waddling teapots to a museum of razzle-dazzle|TelevisionThe 50 best TV shows of 2025|What to watch|Film‘When no one laughs, your soul leaves your body’: have you heard the one about the Bradley Cooper film inspired by John Bishop … ?|TV reviewThe Lowdown – Ethan Hawke’s new drama is hilariously poignant|TelevisionTess and Claudia quit! Celia farts! It’s 2025’s most jaw-dropping TV moments|TV reviewStranger Things season five vol 2 – the fact that this isn’t unbearable is a miracle|What to listen to|Best music of 2025Soul-baring ballads, alt-rock fury and neon-lit techno: five-star albums you may have missed this year|New music for 2026‘We bonded over losing very good friends in our mid-20s’: the candid, shoegazey dream-pop of Snuggle|Best music of 2025The 10 best jazz albums|Classical musicRadu Lupu: The Unreleased Recordings album review – treasures from the vaults are a wonderful surprise|What to read|Fiction‘Like Kafka by way of Pedro Almodóvar’: 10 debut novels to look out for in 2026|BooksThe best recent crime and thrillers – review roundup|BooksBooks to look out for in 2026 – nonfiction|Book of the dayIce by Jacek Dukaj review – a dazzling journey to an alternate Siberia|What to play|The Dominik Diamond alternative game of the year awards 2025|GamesThe video games you may have missed in 2025|GamesNo pain, no game: how South Korea turned itself into a gaming powerhouse|GamesThe video games readers couldn’t switch off in 2025|More culture|Hollywood‘Not the charmed industry it once was’: can Hollywood find its comeback story?|What happened next?The Oasis comeback – and how it transformed a hill in Manchester|Interview‘I wouldn’t answer Stephen Graham’s calls’: Erin Doherty on dreams, danger and ghosting Adolescence’s creator|Timothée ChalametTimothée Chalamet’s unhinged Marty Supreme promo tour is fun – but what really sells a film in 2025?|Lifestyle|CatsWith numbers of abandoned cats soaring, we somehow found ourselves with 11|Life and styleMy big night out: I danced alone in a nightclub – and realised I could make my own good time|Food|The good mixerCocktail of the week: Ambassadors Clubhouse’s Patiala peg – recipe|FeastThe joy of leftovers – what to cook in the calm after Christmas|The sweet spotHelen Goh’s New Year’s Eve espresso martini pavlova bar|Waste notHow to turn excess herbs into a showstopping sauce for just about anything – recipe|Fashion & beauty|Jess Cartner-Morley on fashionWhen it comes to lace, it’s all about the trimmings|Sali Hughes on beautyThe new crop of milky toners are a game-changer|FashionNo more French ‘fashion police’: Emily in Paris costume designer relishes move to Rome|Ask UglyI’m over useless skincare. But how can I take care of my face?|Relationships|You be the judge You be the judge: my partner is obsessed with our home’s water consumption. Should he stop?|My big night outI went to a White Stripes gig with a colleague – and she became my best friend|This is how we do itThis is how we do it: ‘Even after 16 years I only have to look at him and I’m ready to go’|Ask Annalisa BarbieriAfter three years of long-distance, my partner and I aren’t sure if we should stay together|Health & fitness|SleepDon’t fret the first night and nap if you need: how to sleep well, away from home|Travel‘An unsung alternative to the Cotswolds‘: exploring Leicestershire’s Welland valley|Health & wellbeingWorried about winter? 10 ways to thrive – from socialising to Sad lamps to celebrating the new year in April|Well actuallyFirst she got breast cancer. Then her daughter did, too|More lifestyle|ExperienceI cycled the length of the UK on a wooden bike|My weirdest ChristmasOn Boxing Day I vomited in the sink – and began to suspect I had a mysterious condition|Gardening adviceNow is the time to be bold and give your garden a reshuffle|2025: what happened next?The We Do Not Care Club – how a funny, furious feminist movement began|Documentary|Threshold: the choir who sing to the dying – video|You may have missed|USConservative and Christian? US right champions psychedelic drugs|Afghanistan‘International community has lost interest’: Afghanistan’s first female vice-president sees history repeating|Ukraine‘Dancing on bones’: Mariupol theatre to reopen with staging of Russian fairytale|Take part|HomesTell us: do you have unusual living arrangements?|Small businessIndependent businesses: have your online sales been affected by the rise of AI?|Older peopleTell us: are you a UK centenarian or do you know one?|Social mediaAre you limiting the time you spend online? We’d like to hear from you|Newsletters|NewsSign up for the First Edition newsletter|FootballSign up for the Football Daily newsletter|FoodSign up for the Feast newsletter|CultureSign up for The Long Wave newsletter: our weekly Black life and culture email|In pictures|Photos of the day An icy vlogger and Boxing Day dips|Most popular|Most viewed|A child is born: Italians celebrate village’s first baby in 30 years|US warns of more Nigeria strikes as Abuja talks of ‘joint ongoing operations’|‘All brakes are off’: Russia’s attempt to rein in illicit market for leaked data backfires|Falling price of cocaine forces drug traffickers to reuse narco-submarines, say Spanish police|Ukraine war briefing: Kyiv hits Russian oil refinery with British Storm Shadow missiles|Why has Trump ordered strikes in Nigeria and what has it got to do with the persecution of Christians?|Ukrainian refugee leaves UK sixth-form college that urged her ‘to study Russian’|‘Keeps your mind alert’: older Swedes reap the benefits of learning for pleasure|China imposes sanctions on US defence firms over Taiwan arms deal|Zelenskyy to travel to US for Trump meeting amid push for Ukraine  deal|Deeply read|John Robertson was a ‘scruffy, unfit’ genius who did not get the kudos he deserved|‘A bat’s head’: the best and worst gifts 11 people have ever received|Brown shooting suspect: gruelling academic climate may have taken mental toll, say ex-classmates|My weirdest Christmas: it was our first year in Sweden – but I insisted on having a big British celebration|Duckett and Bethell were dangled out to dry by failings of a slack setup|‘That wicket is a shocker’: former Ashes players question state of MCG pitch|The hill I will die on: Washing-up bowls are horrible and should be banned|Why has Trump ordered strikes in Nigeria and what has it got to do with the persecution of Christians?|Living on the edge: what young people in England told us about life on the coast|My weirdest Christmas: on Boxing Day I vomited in the sink – and began to suspect I had a mysterious condition",30|2025|26|1|3|4|2|5|2|99|2024|4|60|28|49|4|5|2|5|3|6|30|8|11|1|1|2025|10|6|2025|26|10|6|10|1|2025|8|50|8|53|4|20|2010|2025|10|10|1|0|1|2025|10|2025|6|7|72|1|1|38|49|3|45|26|20255|15|2|6|6|7|10|4|8|20|10|11|2025|11|2025|50|2025|1|10|2025|2025|50|2025|2025|7|2|2025|4|2026|20|8|2025|10|11|10|202611|6|2026|2025|8|2025|2025|6|2025|11|7|5|5|16|10|7|2025|5|20|30|11|2025,,
https://www.stackoverflow.com,,,,
https://www.github.com,"Navigation Menu|Search code, repositories, users, issues, pull requests...|Provide feedback|Saved searches|Use saved searches to filter your results more quickly|The future of building happens together|GitHub features|GitHub customers|Accelerate your entire workflow|Your AI partner everywhere. Copilot is ready to work with you at each step of the software development lifecycle.|Automate your path to production|Code instantly from anywhere|Keep momentum on the go|Shape your toolchain|Built-in application security where found means fixed|Apply fixes in seconds. Spend less time debugging and more time building features with Copilot Autofix.|Work together, achieve more|Plan with clarity. Organize everything from high-level roadmaps to everyday tasks.|Keep track of your tasks|Share ideas and ask questions|Review code changes together|Fund open source projects|From startups to enterprises, GitHub scales with teams of any size in any industry.|Millions of developers and businesses call GitHub home|Site-wide Links|Subscribe to our developer newsletter|Platform|Ecosystem|Support|Company",24|7|25|25|2025|70|8|3|12|50|2025|02|2024|02|2024,,
